, "id", "k", "i", "j", "f"
1, 1, 1, 1, 1, 60.0
2, 2, 1, 1, 2, 66.21326
3, 3, 1, 1, 3, 71.73323
4, 4, 1, 1, 4, 76.55919
5, 5, 1, 1, 5, 80.69149
6, 6, 1, 1, 6, 84.13007
7, 7, 1, 1, 7, 86.87491
8, 8, 1, 1, 8, 88.92608
9, 9, 1, 1, 9, 90.28358
10, 10, 1, 1, 10, 90.94742
11, 11, 1, 1, 11, 90.91759
12, 12, 1, 1, 12, 90.19408
13, 13, 1, 1, 13, 88.77679
14, 14, 1, 1, 14, 86.66577
15, 15, 1, 1, 15, 83.861
16, 16, 1, 1, 16, 80.36288
17, 17, 1, 1, 17, 79.86049
18, 18, 1, 1, 18, 78.66537
19, 19, 1, 1, 19, 76.77671
20, 20, 1, 1, 20, 74.19415
21, 21, 1, 1, 21, 70.91778
22, 22, 1, 1, 22, 66.9476
23, 23, 1, 1, 23, 62.28362
24, 24, 1, 1, 24, 56.92589
25, 25, 1, 1, 25, 50.8745
26, 26, 1, 1, 26, 44.12948
27, 27, 1, 1, 27, 36.69088
28, 28, 1, 1, 28, 28.5587
29, 29, 1, 1, 29, 19.73286
30, 30, 1, 1, 30, 10.21338
31, 31, 1, 1, 31, 0.0
32, 32, 1, 2, 1, 60.0
33, 33, 1, 2, 2, 66.21316
34, 34, 1, 2, 3, 71.73321
35, 35, 1, 2, 4, 76.55923
36, 36, 1, 2, 5, 80.69154
37, 37, 1, 2, 6, 84.13012
38, 38, 1, 2, 7, 86.87494
39, 39, 1, 2, 8, 88.92606
40, 40, 1, 2, 9, 90.28349
41, 41, 1, 2, 10, 90.94727
42, 42, 1, 2, 11, 90.91743
43, 43, 1, 2, 12, 90.19396
44, 44, 1, 2, 13, 88.7768
45, 45, 1, 2, 14, 86.66599
46, 46, 1, 2, 15, 83.86121
47, 47, 1, 2, 16, 80.36288
48, 48, 1, 2, 17, 79.86045
49, 49, 1, 2, 18, 78.66519
50, 50, 1, 2, 19, 76.77654
51, 51, 1, 2, 20, 74.19405
52, 52, 1, 2, 21, 70.91779
53, 53, 1, 2, 22, 66.94773
54, 54, 1, 2, 23, 62.28383
55, 55, 1, 2, 24, 56.92614
56, 56, 1, 2, 25, 50.87473
57, 57, 1, 2, 26, 44.12967
58, 58, 1, 2, 27, 36.69099
59, 59, 1, 2, 28, 28.55876
60, 60, 1, 2, 29, 19.7328
61, 61, 1, 2, 30, 10.21373
62, 62, 1, 2, 31, 0.0
63, 63, 1, 3, 1, 60.0
64, 64, 1, 3, 2, 66.21311
65, 65, 1, 3, 3, 71.73309
66, 66, 1, 3, 4, 76.55916
67, 67, 1, 3, 5, 80.69149
68, 68, 1, 3, 6, 84.13012
69, 69, 1, 3, 7, 86.87497
70, 70, 1, 3, 8, 88.9261
71, 71, 1, 3, 9, 90.28355
72, 72, 1, 3, 10, 90.94731
73, 73, 1, 3, 11, 90.91746
