, "id", "k", "i", "j", "f", "Active"
1, 1, 1, 1, 1, -999.0, 0
2, 2, 1, 1, 2, -999.0, 0
3, 3, 1, 1, 3, -999.0, 0
4, 4, 1, 1, 4, -999.0, 0
5, 5, 1, 1, 5, -999.0, 0
6, 6, 1, 1, 6, -999.0, 0
7, 7, 1, 1, 7, -999.0, 0
8, 8, 1, 1, 8, -999.0, 0
9, 9, 1, 1, 9, -999.0, 0
10, 10, 1, 1, 10, -999.0, 0
11, 11, 1, 1, 11, -999.0, 0
12, 12, 1, 1, 12, -999.0, 0
13, 13, 1, 1, 13, -999.0, 0
14, 14, 1, 1, 14, -999.0, 0
15, 15, 1, 1, 15, -999.0, 0
16, 16, 1, 1, 16, -999.0, 0
17, 17, 1, 1, 17, -999.0, 0
18, 18, 1, 1, 18, -999.0, 0
19, 19, 1, 1, 19, -999.0, 0
20, 20, 1, 1, 20, -999.0, 0
21, 21, 1, 1, 21, 144.2632, 1
22, 22, 1, 1, 22, -999.0, 0
23, 23, 1, 1, 23, -999.0, 0
24, 24, 1, 1, 24, -999.0, 0
25, 25, 1, 1, 25, -999.0, 0
26, 26, 1, 1, 26, -999.0, 0
27, 27, 1, 1, 27, -999.0, 0
28, 28, 1, 1, 28, -999.0, 0
29, 29, 1, 1, 29, -999.0, 0
30, 30, 1, 1, 30, -999.0, 0
31, 31, 1, 1, 31, -999.0, 0
32, 32, 1, 1, 32, -999.0, 0
33, 33, 1, 1, 33, -999.0, 0
34, 34, 1, 1, 34, -999.0, 0
35, 35, 1, 1, 35, -999.0, 0
36, 36, 1, 1, 36, -999.0, 0
37, 37, 1, 1, 37, -999.0, 0
38, 38, 1, 1, 38, -999.0, 0
39, 39, 1, 1, 39, -999.0, 0
40, 40, 1, 1, 40, -999.0, 0
41, 41, 1, 1, 41, -999.0, 0
42, 42, 1, 2, 1, -999.0, 0
43, 43, 1, 2, 2, -999.0, 0
44, 44, 1, 2, 3, -999.0, 0
45, 45, 1, 2, 4, -999.0, 0
46, 46, 1, 2, 5, -999.0, 0
47, 47, 1, 2, 6, -999.0, 0
48, 48, 1, 2, 7, -999.0, 0
49, 49, 1, 2, 8, -999.0, 0
50, 50, 1, 2, 9, -999.0, 0
51, 51, 1, 2, 10, -999.0, 0
52, 52, 1, 2, 11, -999.0, 0
53, 53, 1, 2, 12, -999.0, 0
54, 54, 1, 2, 13, -999.0, 0
55, 55, 1, 2, 14, -999.0, 0
56, 56, 1, 2, 15, -999.0, 0
57, 57, 1, 2, 16, -999.0, 0
58, 58, 1, 2, 17, -999.0, 0
59, 59, 1, 2, 18, -999.0, 0
60, 60, 1, 2, 19, -999.0, 0
61, 61, 1, 2, 20, 142.0757, 1
62, 62, 1, 2, 21, 142.5965, 1
63, 63, 1, 2, 22, 142.0769, 1
