, "id", "k", "i", "j", "f"
1, 1, 1, 1, 1, 60.0
2, 2, 1, 1, 2, 68.05827
3, 3, 1, 1, 3, 75.4237
4, 4, 1, 1, 4, 82.09528
5, 5, 1, 1, 5, 88.07281
6, 6, 1, 1, 6, 93.35674
7, 7, 1, 1, 7, 97.94701
8, 8, 1, 1, 8, 101.8436
9, 9, 1, 1, 9, 105.0465
10, 10, 1, 1, 10, 107.5556
11, 11, 1, 1, 11, 109.3711
12, 12, 1, 1, 12, 110.4929
13, 13, 1, 1, 13, 110.9211
14, 14, 1, 1, 14, 110.6556
15, 15, 1, 1, 15, 109.6964
16, 16, 1, 1, 16, 108.0435
17, 17, 1, 1, 17, 105.6968
18, 18, 1, 1, 18, 102.6563
19, 19, 1, 1, 19, 98.92196
20, 20, 1, 1, 20, 94.49386
21, 21, 1, 1, 21, 89.37197
22, 22, 1, 1, 22, 83.55634
23, 23, 1, 1, 23, 77.04702
24, 24, 1, 1, 24, 69.84413
25, 25, 1, 1, 25, 61.94769
26, 26, 1, 1, 26, 53.35763
27, 27, 1, 1, 27, 44.07387
28, 28, 1, 1, 28, 34.09626
29, 29, 1, 1, 29, 23.42445
30, 30, 1, 1, 30, 12.05843
31, 31, 1, 1, 31, 0.0
32, 32, 1, 2, 1, 60.0
33, 33, 1, 2, 2, 68.05781
34, 34, 1, 2, 3, 75.42275
35, 35, 1, 2, 4, 82.09455
36, 36, 1, 2, 5, 88.07223
37, 37, 1, 2, 6, 93.35625
38, 38, 1, 2, 7, 97.94665
39, 39, 1, 2, 8, 101.8434
40, 40, 1, 2, 9, 105.0463
41, 41, 1, 2, 10, 107.5556
42, 42, 1, 2, 11, 109.3711
43, 43, 1, 2, 12, 110.4929
44, 44, 1, 2, 13, 110.9211
45, 45, 1, 2, 14, 110.6557
46, 46, 1, 2, 15, 109.6965
47, 47, 1, 2, 16, 108.0437
48, 48, 1, 2, 17, 105.6971
49, 49, 1, 2, 18, 102.6567
50, 50, 1, 2, 19, 98.92242
51, 51, 1, 2, 20, 94.49438
52, 52, 1, 2, 21, 89.37253
53, 53, 1, 2, 22, 83.55686
54, 54, 1, 2, 23, 77.04742
55, 55, 1, 2, 24, 69.8443
56, 56, 1, 2, 25, 61.94763
57, 57, 1, 2, 26, 53.35734
58, 58, 1, 2, 27, 44.07338
59, 59, 1, 2, 28, 34.09577
60, 60, 1, 2, 29, 23.42392
61, 61, 1, 2, 30, 12.05894
62, 62, 1, 2, 31, 0.0
63, 63, 1, 3, 1, 60.0
64, 64, 1, 3, 2, 68.05803
65, 65, 1, 3, 3, 75.42249
66, 66, 1, 3, 4, 82.09426
67, 67, 1, 3, 5, 88.07206
68, 68, 1, 3, 6, 93.35614
69, 69, 1, 3, 7, 97.9466
70, 70, 1, 3, 8, 101.8434
71, 71, 1, 3, 9, 105.0465
72, 72, 1, 3, 10, 107.5558
73, 73, 1, 3, 11, 109.3714
74, 74, 1, 3, 12, 110.4932
