, "id", "k", "i", "j", "f"
1, 1, 1, 1, 1, 60.0
2, 2, 1, 1, 2, 57.99965
3, 3, 1, 1, 3, 55.99953
4, 4, 1, 1, 4, 53.99976
5, 5, 1, 1, 5, 51.99983
6, 6, 1, 1, 6, 49.99985
7, 7, 1, 1, 7, 47.99987
8, 8, 1, 1, 8, 45.99985
9, 9, 1, 1, 9, 43.99979
10, 10, 1, 1, 10, 41.99972
11, 11, 1, 1, 11, 39.99969
12, 12, 1, 1, 12, 37.99969
13, 13, 1, 1, 13, 35.99972
14, 14, 1, 1, 14, 33.99977
15, 15, 1, 1, 15, 31.99981
16, 16, 1, 1, 16, 29.99981
17, 17, 1, 1, 17, 27.99977
18, 18, 1, 1, 18, 25.99968
19, 19, 1, 1, 19, 23.99955
20, 20, 1, 1, 20, 21.99942
21, 21, 1, 1, 21, 19.99931
22, 22, 1, 1, 22, 17.99925
23, 23, 1, 1, 23, 15.99924
24, 24, 1, 1, 24, 13.99929
25, 25, 1, 1, 25, 11.99937
26, 26, 1, 1, 26, 9.999427
27, 27, 1, 1, 27, 7.999483
28, 28, 1, 1, 28, 5.999515
29, 29, 1, 1, 29, 3.999377
30, 30, 1, 1, 30, 1.998851
31, 31, 1, 1, 31, 0.0
32, 32, 1, 2, 1, 60.0
33, 33, 1, 2, 2, 57.99971
34, 34, 1, 2, 3, 55.99947
35, 35, 1, 2, 4, 53.99968
36, 36, 1, 2, 5, 51.99982
37, 37, 1, 2, 6, 49.99986
38, 38, 1, 2, 7, 47.99992
39, 39, 1, 2, 8, 45.99994
40, 40, 1, 2, 9, 43.99986
41, 41, 1, 2, 10, 41.99976
42, 42, 1, 2, 11, 39.99968
43, 43, 1, 2, 12, 37.99963
44, 44, 1, 2, 13, 35.99962
45, 45, 1, 2, 14, 33.99965
46, 46, 1, 2, 15, 31.99971
47, 47, 1, 2, 16, 29.99977
48, 48, 1, 2, 17, 27.9998
49, 49, 1, 2, 18, 25.99976
50, 50, 1, 2, 19, 23.99967
51, 51, 1, 2, 20, 21.99954
52, 52, 1, 2, 21, 19.99941
53, 53, 1, 2, 22, 17.99931
54, 54, 1, 2, 23, 15.99926
55, 55, 1, 2, 24, 13.99928
56, 56, 1, 2, 25, 11.99935
57, 57, 1, 2, 26, 9.999376
58, 58, 1, 2, 27, 7.99934
59, 59, 1, 2, 28, 5.999281
60, 60, 1, 2, 29, 3.999171
61, 61, 1, 2, 30, 2.000084
62, 62, 1, 2, 31, 0.0
63, 63, 1, 3, 1, 60.0
64, 64, 1, 3, 2, 57.99978
65, 65, 1, 3, 3, 55.99955
66, 66, 1, 3, 4, 53.99969
67, 67, 1, 3, 5, 51.99987
68, 68, 1, 3, 6, 49.99992
69, 69, 1, 3, 7, 48.0
70, 70, 1, 3, 8, 46.00006
71, 71, 1, 3, 9, 44.00002
72, 72, 1, 3, 10, 41.99991
73, 73, 1, 3, 11, 39.99979
74, 74, 1, 3, 12, 37.99969
75, 75, 1, 3, 13, 35.99963
76, 76, 1, 3, 14, 33.99961
77, 77, 1, 3, 15, 31.99965
78, 78, 1, 3, 16, 29.99973
79, 79, 1, 3, 17, 27.9998
80, 80, 1, 3, 18, 25.99983
81, 81, 1, 3, 19, 23.99979
82, 82, 1, 3, 20, 21.99967
83, 83, 1, 3, 21, 19.99952
84, 84, 1, 3, 22, 17.99935
85, 85, 1, 3, 23, 15.99919
86, 86, 1, 3, 24, 13.99907
87, 87, 1, 3, 25, 11.99903
88, 88, 1, 3, 26, 9.998953
89, 89, 1, 3, 27, 7.998919
90, 90, 1, 3, 28, 5.999814
91, 91, 1, 3, 29, 3.99954
92, 92, 1, 3, 30, 2.000192
93, 93, 1, 3, 31, 0.0
94, 94, 1, 4, 1, 60.0
95, 95, 1, 4, 2, 57.99979
96, 96, 1, 4, 3, 55.99963
97, 97, 1, 4, 4, 53.99969
98, 98, 1, 4, 5, 51.99987
99, 99, 1, 4, 6, 49.99994
100, 100, 1, 4, 7, 48.00002
101, 101, 1, 4, 8, 46.00011
102, 102, 1, 4, 9, 44.00014
103, 103, 1, 4, 10, 42.00006
104, 104, 1, 4, 11, 39.99993
105, 105, 1, 4, 12, 37.99979
106, 106, 1, 4, 13, 35.99968
107, 107, 1, 4, 14, 33.9996
108, 108, 1, 4, 15, 31.99958
109, 109, 1, 4, 16, 29.99961
110, 110, 1, 4, 17, 27.99967
111, 111, 1, 4, 18, 25.99973
112, 112, 1, 4, 19, 23.99972
113, 113, 1, 4, 20, 21.99962
114, 114, 1, 4, 21, 19.99944
115, 115, 1, 4, 22, 17.99923
116, 116, 1, 4, 23, 15.999
117, 117, 1, 4, 24, 13.99887
118, 118, 1, 4, 25, 11.99905
119, 119, 1, 4, 26, 9.999667
120, 120, 1, 4, 27, 7.999927
121, 121, 1, 4, 28, 5.999078
122, 122, 1, 4, 29, 4.000019
123, 123, 1, 4, 30, 2.000088
124, 124, 1, 4, 31, 0.0
125, 125, 1, 5, 1, 60.0
126, 126, 1, 5, 2, 57.99976
127, 127, 1, 5, 3, 55.99966
128, 128, 1, 5, 4, 53.99967
129, 129, 1, 5, 5, 51.99982
130, 130, 1, 5, 6, 49.9999
131, 131, 1, 5, 7, 47.99997
132, 132, 1, 5, 8, 46.00008
133, 133, 1, 5, 9, 44.00015
134, 134, 1, 5, 10, 42.00013
135, 135, 1, 5, 11, 40.00002
136, 136, 1, 5, 12, 37.99987
137, 137, 1, 5, 13, 35.99972
138, 138, 1, 5, 14, 33.99959
139, 139, 1, 5, 15, 31.99949
140, 140, 1, 5, 16, 29.99945
141, 141, 1, 5, 17, 27.99946
142, 142, 1, 5, 18, 25.99952
143, 143, 1, 5, 19, 23.99956
144, 144, 1, 5, 20, 21.99955
145, 145, 1, 5, 21, 19.99949
146, 146, 1, 5, 22, 17.99941
147, 147, 1, 5, 23, 15.99937
148, 148, 1, 5, 24, 13.9993
149, 149, 1, 5, 25, 11.99924
150, 150, 1, 5, 26, 9.999418
151, 151, 1, 5, 27, 7.999757
152, 152, 1, 5, 28, 5.999453
153, 153, 1, 5, 29, 4.000275
154, 154, 1, 5, 30, 2.000047
155, 155, 1, 5, 31, 0.0
156, 156, 1, 6, 1, 60.0
157, 157, 1, 6, 2, 57.99971
158, 158, 1, 6, 3, 55.99967
159, 159, 1, 6, 4, 53.99963
160, 160, 1, 6, 5, 51.99975
161, 161, 1, 6, 6, 49.99982
162, 162, 1, 6, 7, 47.99986
163, 163, 1, 6, 8, 45.99996
164, 164, 1, 6, 9, 44.00007
165, 165, 1, 6, 10, 42.0001
166, 166, 1, 6, 11, 40.00004
167, 167, 1, 6, 12, 37.9999
168, 168, 1, 6, 13, 35.99974
169, 169, 1, 6, 14, 33.99959
170, 170, 1, 6, 15, 31.99946
171, 171, 1, 6, 16, 29.99937
172, 172, 1, 6, 17, 27.99934
173, 173, 1, 6, 18, 25.99937
174, 174, 1, 6, 19, 23.99946
175, 175, 1, 6, 20, 21.99956
176, 176, 1, 6, 21, 19.99961
177, 177, 1, 6, 22, 17.99965
178, 178, 1, 6, 23, 15.99971
179, 179, 1, 6, 24, 13.99976
180, 180, 1, 6, 25, 11.99962
181, 181, 1, 6, 26, 9.99933
182, 182, 1, 6, 27, 7.999319
183, 183, 1, 6, 28, 5.999742
