, "id", "k", "i", "j", "f"
140, 140, 1, 5, 16, 22.50039
141, 141, 1, 5, 17, 21.00126
142, 142, 1, 5, 18, 19.50092
143, 143, 1, 5, 19, 18.00089
144, 144, 1, 5, 20, 16.50093
145, 145, 1, 5, 21, 15.00099
146, 146, 1, 5, 22, 13.5011
147, 147, 1, 5, 23, 12.00117
148, 148, 1, 5, 24, 10.50113
149, 149, 1, 5, 25, 9.000899
150, 150, 1, 5, 26, 7.500486
151, 151, 1, 5, 27, 6.000193
152, 152, 1, 5, 28, 4.499991
153, 153, 1, 5, 29, 3.000224
154, 154, 1, 5, 30, 1.500024
155, 155, 1, 5, 31, 0.0
156, 156, 1, 6, 1, 60.0
157, 157, 1, 6, 2, 57.49969
158, 158, 1, 6, 3, 54.99971
159, 159, 1, 6, 4, 52.49974
160, 160, 1, 6, 5, 49.99982
161, 161, 1, 6, 6, 47.49993
162, 162, 1, 6, 7, 45.00012
163, 163, 1, 6, 8, 42.50034
164, 164, 1, 6, 9, 40.00053
165, 165, 1, 6, 10, 37.50064
166, 166, 1, 6, 11, 35.00059
167, 167, 1, 6, 12, 32.50045
168, 168, 1, 6, 13, 30.00055
169, 169, 1, 6, 14, 27.50049
170, 170, 1, 6, 15, 25.00037
171, 171, 1, 6, 16, 22.50039
172, 172, 1, 6, 17, 21.00118
173, 173, 1, 6, 18, 19.50086
174, 174, 1, 6, 19, 18.00076
175, 175, 1, 6, 20, 16.50074
176, 176, 1, 6, 21, 15.00075
177, 177, 1, 6, 22, 13.50086
178, 178, 1, 6, 23, 12.00097
179, 179, 1, 6, 24, 10.501
180, 180, 1, 6, 25, 9.000865
181, 181, 1, 6, 26, 7.500472
182, 182, 1, 6, 27, 6.000042
183, 183, 1, 6, 28, 4.500197
184, 184, 1, 6, 29, 3.000248
185, 185, 1, 6, 30, 1.50004
186, 186, 1, 6, 31, 0.0
187, 187, 1, 7, 1, 60.0
188, 188, 1, 7, 2, 57.49971
189, 189, 1, 7, 3, 54.99973
190, 190, 1, 7, 4, 52.49974
191, 191, 1, 7, 5, 49.99979
192, 192, 1, 7, 6, 47.49989
193, 193, 1, 7, 7, 45.00007
194, 194, 1, 7, 8, 42.50031
195, 195, 1, 7, 9, 40.00051
196, 196, 1, 7, 10, 37.50064
197, 197, 1, 7, 11, 35.00067
198, 198, 1, 7, 12, 32.50058
199, 199, 1, 7, 13, 30.00064
200, 200, 1, 7, 14, 27.50051
201, 201, 1, 7, 15, 25.00039
202, 202, 1, 7, 16, 22.50039
203, 203, 1, 7, 17, 21.00109
204, 204, 1, 7, 18, 19.5008
205, 205, 1, 7, 19, 18.00065
206, 206, 1, 7, 20, 16.50056
207, 207, 1, 7, 21, 15.0005
208, 208, 1, 7, 22, 13.50056
209, 209, 1, 7, 23, 12.00069
210, 210, 1, 7, 24, 10.50072
211, 211, 1, 7, 25, 9.000648
212, 212, 1, 7, 26, 7.50045
213, 213, 1, 7, 27, 6.000203
214, 214, 1, 7, 28, 4.500376
215, 215, 1, 7, 29, 3.000267
216, 216, 1, 7, 30, 1.500054
217, 217, 1, 7, 31, 0.0
218, 218, 1, 8, 1, 60.0
219, 219, 1, 8, 2, 57.49976
220, 220, 1, 8, 3, 54.99979
221, 221, 1, 8, 4, 52.49981
222, 222, 1, 8, 5, 49.99984
223, 223, 1, 8, 6, 47.49987
224, 224, 1, 8, 7, 45.0
225, 225, 1, 8, 8, 42.50021
226, 226, 1, 8, 9, 40.00043
227, 227, 1, 8, 10, 37.50059
228, 228, 1, 8, 11, 35.00068
229, 229, 1, 8, 12, 32.50069
230, 230, 1, 8, 13, 30.0007
231, 231, 1, 8, 14, 27.50053
232, 232, 1, 8, 15, 25.00041
233, 233, 1, 8, 16, 22.50039
234, 234, 1, 8, 17, 21.00099
235, 235, 1, 8, 18, 19.50075
236, 236, 1, 8, 19, 18.00057
237, 237, 1, 8, 20, 16.50043
238, 238, 1, 8, 21, 15.00026
239, 239, 1, 8, 22, 13.50021
240, 240, 1, 8, 23, 12.0003
241, 241, 1, 8, 24, 10.5004
242, 242, 1, 8, 25, 9.000422
243, 243, 1, 8, 26, 7.500419
244, 244, 1, 8, 27, 6.000417
245, 245, 1, 8, 28, 4.50052
246, 246, 1, 8, 29, 3.0003
247, 247, 1, 8, 30, 1.500073
248, 248, 1, 8, 31, 0.0
249, 249, 1, 9, 1, 60.0
250, 250, 1, 9, 2, 57.49984
251, 251, 1, 9, 3, 54.99987
252, 252, 1, 9, 4, 52.49989
253, 253, 1, 9, 5, 49.99992
254, 254, 1, 9, 6, 47.49992
255, 255, 1, 9, 7, 44.99995
256, 256, 1, 9, 8, 42.50008
257, 257, 1, 9, 9, 40.00029
258, 258, 1, 9, 10, 37.50048
259, 259, 1, 9, 11, 35.00064
260, 260, 1, 9, 12, 32.50074
261, 261, 1, 9, 13, 30.00073
262, 262, 1, 9, 14, 27.50056
263, 263, 1, 9, 15, 25.00043
264, 264, 1, 9, 16, 22.50039
265, 265, 1, 9, 17, 21.00088
266, 266, 1, 9, 18, 19.50068
267, 267, 1, 9, 19, 18.00051
268, 268, 1, 9, 20, 16.50035
269, 269, 1, 9, 21, 15.0001
270, 270, 1, 9, 22, 13.4999
271, 271, 1, 9, 23, 11.99988
272, 272, 1, 9, 24, 10.5
273, 273, 1, 9, 25, 9.000174
274, 274, 1, 9, 26, 7.50037
275, 275, 1, 9, 27, 6.000566
276, 276, 1, 9, 28, 4.500628
277, 277, 1, 9, 29, 3.000354
278, 278, 1, 9, 30, 1.500103
279, 279, 1, 9, 31, 0.0
280, 280, 1, 10, 1, 60.0
281, 281, 1, 10, 2, 57.49991
282, 282, 1, 10, 3, 54.99994
283, 283, 1, 10, 4, 52.49998
284, 284, 1, 10, 5, 50.00003
285, 285, 1, 10, 6, 47.50002
286, 286, 1, 10, 7, 44.99998
287, 287, 1, 10, 8, 42.5
288, 288, 1, 10, 9, 40.00013
289, 289, 1, 10, 10, 37.50032
290, 290, 1, 10, 11, 35.00053
291, 291, 1, 10, 12, 32.50071
292, 292, 1, 10, 13, 30.00072
293, 293, 1, 10, 14, 27.50058
294, 294, 1, 10, 15, 25.00046
295, 295, 1, 10, 16, 22.50039
296, 296, 1, 10, 17, 21.00076
297, 297, 1, 10, 18, 19.50059
298, 298, 1, 10, 19, 18.00043
299, 299, 1, 10, 20, 16.5003
300, 300, 1, 10, 21, 15.00006
301, 301, 1, 10, 22, 13.49977
302, 302, 1, 10, 23, 11.9996
303, 303, 1, 10, 24, 10.49965
304, 304, 1, 10, 25, 8.999885
305, 305, 1, 10, 26, 7.50023
306, 306, 1, 10, 27, 6.000572
307, 307, 1, 10, 28, 4.500661
308, 308, 1, 10, 29, 3.000406
309, 309, 1, 10, 30, 1.500145
310, 310, 1, 10, 31, 0.0
311, 311, 1, 11, 1, 60.0
312, 312, 1, 11, 2, 57.49997
313, 313, 1, 11, 3, 55.0
314, 314, 1, 11, 4, 52.50003
315, 315, 1, 11, 5, 50.0001
316, 316, 1, 11, 6, 47.50011
317, 317, 1, 11, 7, 45.00006
318, 318, 1, 11, 8, 42.50002
319, 319, 1, 11, 9, 40.00005
320, 320, 1, 11, 10, 37.50018
321, 321, 1, 11, 11, 35.00039
322, 322, 1, 11, 12, 32.50059
323, 323, 1, 11, 13, 30.00065
324, 324, 1, 11, 14, 27.50057
325, 325, 1, 11, 15, 25.00047
326, 326, 1, 11, 16, 22.50039
327, 327, 1, 11, 17, 21.00064
328, 328, 1, 11, 18, 19.50047
329, 329, 1, 11, 19, 18.00031
330, 330, 1, 11, 20, 16.50022
331, 331, 1, 11, 21, 15.00004
332, 332, 1, 11, 22, 13.49977
333, 333, 1, 11, 23, 11.99955
334, 334, 1, 11, 24, 10.49949
335, 335, 1, 11, 25, 8.999669
336, 336, 1, 11, 26, 7.500031
337, 337, 1, 11, 27, 6.000425
338, 338, 1, 11, 28, 4.500571
339, 339, 1, 11, 29, 3.000401
340, 340, 1, 11, 30, 1.500175
341, 341, 1, 11, 31, 0.0
342, 342, 1, 12, 1, 60.0
343, 343, 1, 12, 2, 57.50003
344, 344, 1, 12, 3, 55.00004
345, 345, 1, 12, 4, 52.50006
346, 346, 1, 12, 5, 50.00012
347, 347, 1, 12, 6, 47.50016
348, 348, 1, 12, 7, 45.00014
349, 349, 1, 12, 8, 42.5001
350, 350, 1, 12, 9, 40.00008
351, 351, 1, 12, 10, 37.50014
352, 352, 1, 12, 11, 35.00028
353, 353, 1, 12, 12, 32.50045
354, 354, 1, 12, 13, 30.00054
355, 355, 1, 12, 14, 27.50052
356, 356, 1, 12, 15, 25.00046
357, 357, 1, 12, 16, 22.50039
358, 358, 1, 12, 17, 21.00051
359, 359, 1, 12, 18, 19.50035
360, 360, 1, 12, 19, 18.00017
361, 361, 1, 12, 20, 16.5001
362, 362, 1, 12, 21, 14.99999
363, 363, 1, 12, 22, 13.49981
364, 364, 1, 12, 23, 11.99963
365, 365, 1, 12, 24, 10.49955
366, 366, 1, 12, 25, 8.999635
367, 367, 1, 12, 26, 7.499904
368, 368, 1, 12, 27, 6.000232
369, 369, 1, 12, 28, 4.500389
370, 370, 1, 12, 29, 3.000314
371, 371, 1, 12, 30, 1.500166
372, 372, 1, 12, 31, 0.0
373, 373, 1, 13, 1, 60.0
374, 374, 1, 13, 2, 57.50007
375, 375, 1, 13, 3, 55.00008
376, 376, 1, 13, 4, 52.50008
